"score","model","n","events","HR","lo95","hi95","p"
"OX3","M0",52,22,1.079716514066,0.682174164986375,1.70892978741012,0.74337447218624
"OX3","M1",52,22,1.09476882322759,0.681498284367993,1.75865266839608,0.708116053682299
"OX4","M0",52,22,1.10903856320511,0.716759814302882,1.71600933831971,0.642149188327753
"OX4","M1",52,22,1.13662037724674,0.718577976048796,1.7978645672892,0.584124034717535
"OX6","M0",52,22,1.38165084961571,0.799392534579194,2.38801213129756,0.246880232493069
"OX6","M1",52,22,1.3504802619538,0.804953591710062,2.26571687698453,0.25507616103884
