cohort,score,model,n,events,HR,lo95,hi95,p,n_params,EPV,covariates_used,dropped_constant,n_analysis_subset,note
GSE39582,OX5_noNRF2,M1,561,191,0.8984192079877386,0.7776051150946367,1.0380038114629457,0.1460141029581044,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,主模型（本文口径）
GSE39582,OX5_noNRF2,M1(cc:chemo),545,180,0.9176035990657224,0.789066940951575,1.0670784965379005,0.2640918314247521,7,25.714285714285715,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo 的同批完整病例
GSE39582,OX5_noNRF2,M1+chemo,545,180,0.9185026245927477,0.789629329165262,1.0684089866261777,0.27041581988087343,8,22.5,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,561,M1 + chemo
GSE39582,OX5_noNRF2,M1(cc:mmr),515,176,0.928349574025406,0.7986826673088832,1.0790680289795833,0.33275609646650545,7,25.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 mmr 的同批完整病例
GSE39582,OX5_noNRF2,M1+mmr,515,176,0.9293774404726216,0.7993910215709726,1.080500535472621,0.3407080060188231,8,22.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,561,M1 + mmr
GSE39582,OX5_noNRF2,M1(cc:side),561,191,0.8984192079877386,0.7776051150946367,1.0380038114629457,0.1460141029581044,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 side 的同批完整病例
GSE39582,OX5_noNRF2,M1+side,561,191,0.8985401514344156,0.7776458473545611,1.0382289142112102,0.14675133818535077,8,23.875,age;male;stg_II;stg_III;stg_IV;stg_Unknown;side_prox,,561,M1 + side
GSE39582,OX5_noNRF2,M1(cc:chemo+mmr+side),499,165,0.9528046998001222,0.8138461679904325,1.1154894274465312,0.5477795149386018,7,23.571428571428573,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo+mmr+side 的同批完整病例
GSE39582,OX5_noNRF2,M1+chemo+mmr+side,499,165,0.9560026476693622,0.8160503806810434,1.1199566644256589,0.5774269768431116,10,16.5,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;side_prox,,561,M1 + chemo+mmr+side
GSE39582,OX6,M1,561,191,0.8618758945846482,0.7423333878630238,1.0006690656936417,0.05103511523897997,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,主模型（本文口径）
GSE39582,OX6,M1(cc:chemo),545,180,0.863229296413237,0.7406519761044356,1.006093066956214,0.05980571153086318,7,25.714285714285715,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo 的同批完整病例
GSE39582,OX6,M1+chemo,545,180,0.8597157110348328,0.7372178060674544,1.002568166038709,0.05394711982332688,8,22.5,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,561,M1 + chemo
GSE39582,OX6,M1(cc:mmr),515,176,0.8974119099165208,0.7686023874463188,1.0478085278082294,0.17093343327367416,7,25.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 mmr 的同批完整病例
GSE39582,OX6,M1+mmr,515,176,0.8982979957739897,0.7681495185253557,1.0504976827436894,0.17925149575804172,8,22.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,561,M1 + mmr
GSE39582,OX6,M1(cc:side),561,191,0.8618758945846482,0.7423333878630238,1.0006690656936417,0.05103511523897997,7,27.285714285714285,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 side 的同批完整病例
GSE39582,OX6,M1+side,561,191,0.8612663390444277,0.7419106622380349,0.9998234889000669,0.04972950871871672,8,23.875,age;male;stg_II;stg_III;stg_IV;stg_Unknown;side_prox,,561,M1 + side
GSE39582,OX6,M1(cc:chemo+mmr+side),499,165,0.9010205965851021,0.7682136953674352,1.0567868294541047,0.20016502912209064,7,23.571428571428573,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,561,M1 限定于 chemo+mmr+side 的同批完整病例
GSE39582,OX6,M1+chemo+mmr+side,499,165,0.8960345145758155,0.7621572373483912,1.0534281011414344,0.18366279358607374,10,16.5,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;side_prox,,561,M1 + chemo+mmr+side
TCGA-COADREAD,OX3,M1,367,85,0.93338360746577,0.745277017200608,1.1689679657078575,0.5482640344451968,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,主模型（本文口径）
TCGA-COADREAD,OX3,M1(cc:chemo),309,62,0.9288528841230737,0.7211487753450027,1.196379595778968,0.5676459907956288,7,8.857142857142858,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo 的同批完整病例
TCGA-COADREAD,OX3,M1+chemo,309,62,0.9871536967066354,0.7614601738967286,1.2797418096533786,0.9222326790964044,8,7.75,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo,,367,M1 + chemo
TCGA-COADREAD,OX3,M1(cc:mmr),232,35,0.9676502957310202,0.6589375647445561,1.4209951669568504,0.8667883789243642,7,5.0,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 mmr 的同批完整病例
TCGA-COADREAD,OX3,M1+mmr,232,35,0.9479047514476846,0.6447372510961539,1.3936272741949791,0.785564764023826,8,4.375,age;male;stg_II;stg_III;stg_IV;stg_Unknown;mmr,,367,M1 + mmr
TCGA-COADREAD,OX3,M1(cc:side),365,85,0.9227023704128436,0.7368769500106178,1.1553891926640028,0.48321610133427795,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 side 的同批完整病例
TCGA-COADREAD,OX3,M1+side,365,85,0.8955979893316431,0.710333435098532,1.1291820416472744,0.35107993254657155,8,10.625,age;male;stg_II;stg_III;stg_IV;stg_Unknown;site_rectum,,367,M1 + side
TCGA-COADREAD,OX3,M1(cc:chemo+mmr+side),216,33,0.9220186606342056,0.6274541059291646,1.3548694677817075,0.6792877845359856,7,4.714285714285714,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo+mmr+side 的同批完整病例
TCGA-COADREAD,OX3,M1+chemo+mmr+side,216,33,0.8871421186255554,0.5980637000875627,1.3159486832660316,0.5516864347892183,10,3.3,age;male;stg_II;stg_III;stg_IV;stg_Unknown;chemo;mmr;site_rectum,,367,M1 + chemo+mmr+side
TCGA-COADREAD,OX4,M1,367,85,0.9386205497868044,0.7525030979732648,1.170770643808544,0.5742811235426482,7,12.142857142857142,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,主模型（本文口径）
TCGA-COADREAD,OX4,M1(cc:chemo),309,62,0.9478338111644518,0.736326986621061,1.2200950799170847,0.6775108920865605,7,8.857142857142858,age;male;stg_II;stg_III;stg_IV;stg_Unknown,,367,M1 限定于 chemo 的同批完整病例
