cohort,set,gene,measured,clean_member,exclusion_set
TCGA-COADREAD,ferroptosis,DNMT3B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DPEP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DPP4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DPP9,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DRD4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DRD5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DSCAM-AS1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,DTX2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DUOX1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DUOX2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DUSP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,DUXAP8,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,DYRK1A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,E2F1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,E2F2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,E2F3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,E2F7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EBF3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EBLN3P,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,ECH1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EDN1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EFNA4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EFTUD2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EGF,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EGFR,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EGLN2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EGR1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EHMT2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EIF2AK2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EIF2AK3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EIF2AK4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EIF2S1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EIF3H,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EIF4E,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ELAVL1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ELF3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ELK1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ELK4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ELOVL5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EMC2,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,EMP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EMP2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ENO1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ENO2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ENO3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ENPP2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EP300,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EPAS1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EPHA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EPHA4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EPHX1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EPS15-AS1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,EPT1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ERBB2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EREG,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ERK,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,ERN1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ERO1A,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,ERRFI1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ESR1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ETHE1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ETS1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ETV4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,EZH2,True,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FABP4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FABP5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FADS1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FADS2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FAF1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FAM120A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FAM230B,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FAM83A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FAM98A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FANCD2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FAR1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FASN,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FBLN1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FBXL5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FBXO31,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FBXO45,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FBXW7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FCN3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FDFT1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FDX1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FDX2,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FEACR,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FECH,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FEN1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FENDRR,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FER1L4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGF10,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGF12,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGF2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGF21,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGF4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGF5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FGFR4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FH,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FHOD1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FLRT2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FLT3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FLVCR2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FMO1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FMRP,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FNDC3B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FNDC5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOSL1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXM1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXN4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXO3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXO4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXP3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FOXQ1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FSCN1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FTH1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FTH1P8,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FTHL17,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FTL,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FTMT,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FTO,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FTX,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,FUNDC1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FUNDC2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FURIN,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FXN,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FXR1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,FZD7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,Fer1HCH,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,G3BP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,G6PD,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,G6PDX,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,GABARAPL1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GABARAPL2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GABPA,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GABPB1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GADD45A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GALNT14,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GALNT5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GAS1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GAS5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GATA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GATA3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GATA6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GCH1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GCLC,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GDF11,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GDF15,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GFI1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GFPT1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GGT1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GINS4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GJA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GLP1R,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GLRX5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GLS,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GLS2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GLUT13,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,GMFB,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GOLPH3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GOT1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPAT4,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,GPER1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,GPR30,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,GPR37,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPR4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPT2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPX1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPX2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPX3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPX4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GPX7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GRIA3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GRN,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GRSF1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSK3B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSS,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSTM1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSTM3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSTO2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSTP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GSTZ1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,GZMA,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,Gm47283,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H19,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C10,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C11,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C12,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C13,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C14,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C15,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C2,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C3,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C4,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C6,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C7,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,H3C8,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HACE1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HAMP,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HAND2-AS1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HAS2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HBA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HBP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HCAR1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HCG18,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HCP5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDAC10,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDAC2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDAC3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDAC6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDAC9,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDDC3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HDLBP,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HECTD2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HECTD3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HECW1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HELLS,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HEPFAL,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HERPUD1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HIC1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HIF-2α,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HIF1A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HIF3A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HILPDA,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HJURP,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HLF,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGB1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGB2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGB3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGCL,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGCR,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMGCS1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HMOX1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HNF4A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HNF4A-AS1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HNRNPD,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HNRNPL,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HNRNPM,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HOTAIR,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HOXA11-AS,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HOXA5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HOXC-AS3,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,HOXD10,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HPCAL1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HPGD,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HPX,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HRAS,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HRH1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSBP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSD17B11,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSDL2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSF1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSP90AA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA12A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA12B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA13,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA14,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA1A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA1B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA1L,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA4L,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA8,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPA9,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPB1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPE1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HSPH1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HTR2B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HTRA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HULC,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HUWE1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,HYOU1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,Hsa_circ_0072732,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,ICA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IDH1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IDH2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IDO1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFI35,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA10,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA13,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA14,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA16,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA17,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA21,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA4,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNA8,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNG,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IFNGR1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGF1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGF1R,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGF2BP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGF2BP2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGF2BP3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGFBP6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IGFBP7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL-10,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,IL12B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL13,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL17A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL17D,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL1B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL23A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL33,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL37,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,IL6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IL9,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IMP2,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,INTS2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IQANK1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,IQGAP1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IREB2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IRF1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IRF3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IRF7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IRF8,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,IRF9,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ISCA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ISCU,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ITGB2-AS1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,ITGB3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ITPR1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ITPR2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,ITPR3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,JDP2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,JUN,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,JUND,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,JUP,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KAT2A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KAT5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KAT6B,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KAT7,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KB-1460A1.5,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KBTBD7,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KCNA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KCNMA1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KCNQ1OT1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM1A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM3B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM4A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM4D,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM5A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM5B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM5C,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KDM6B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KEAP1,True,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KIF20A,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KIM-1,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KL,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF1,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF11,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF14,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF15,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF5,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLF6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLHDC3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KLHL24,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KMT2A,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KMT2B,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KMT2D,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KMT5A,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,KPNA2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KRAS,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KRT18,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,KRT19,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LACTB,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LAMP2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LAMTOR5,False,False,OX6_fixed
TCGA-COADREAD,ferroptosis,LAPTM4B,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LCE2C,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LCN2,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LDHA,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LDHB,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LDLR,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LGMN,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LGR6,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LIFR,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LIG3,True,True,OX6_fixed
TCGA-COADREAD,ferroptosis,LIN28A,True,True,OX6_fixed
