cohort,set,gene,measured,clean_member,exclusion_set
TCGA-COADREAD,S_prolif,GSK3B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,HDAC1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,HDAC2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,HDAC8,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,KNL1,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,MAD1L1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MAD2L1,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MAD2L1BP,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MAD2L2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MAU2,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,MCM2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MCM3,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MCM4,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MCM5,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MCM6,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MCM7,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MDM2,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MTBP,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,MYC,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,NDC80,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,NIPBL,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,ORC1,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,ORC2,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,ORC3,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,ORC4,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,ORC5,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,ORC6,False,False,OX6_fixed
TCGA-COADREAD,S_prolif,PCNA,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PDS5A,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PDS5B,True,True,OX6_fixed
TCGA-COADREAD,S_prolif,PKMYT1,True,True,OX6_fixed
