gene,probes,in_matrix
KEAP1,A_23_P119141,True
PGAM5,A_23_P319719;A_23_P426398,True
AIFM1,A_23_P72537,True
OTUD1,A_24_P374834;A_32_P60459,True
CUL3,A_23_P209288;A_24_P140030,True
EZH2,A_23_P259641,True
NFE2L2,A_23_P5761;A_24_P936444,False
AIRE,,False
