file,rows,sha256
S10a_matched_null_summary.csv,6,564f6ab441b4d73d1d56918283f502cfb7a7e1c87d623372c9261f721647be5d
S10b_matched_null_all6000_R.csv,6000,f5e7d75ec84886cca5f256dfc5132d1bada749101b2d8ab9ad8603de189f558c
S11a_GSE71187_R_recheck.csv,6,69964948547d1b921f8767b6dba254d4d6b57484f59d0da0706e4e049d4de33e
S11b_GSE71187_probe_coverage.csv,8,86345bab3d2ef7e214542cceda88edd1d1a5fb5ec46937e7a8ee182b12f8836e
S12a_main_reference_verification.csv,17,13f93eaa59fcbf343a401000e39fe95cb093ab9c5cdf4c98253ea7cd31809a20
S1a_baseline.csv,3,ddaab998218ed6f8d05b2a24d78e51820558a983fd71f53206a3b311b74aaacb
S1b_OS_population_variants.csv,9,d1e50082e93f432ed915a69646439c124e61913e8a32bf6d2425d0db28f6de5a
S2a_score_registry_corrected.csv,6,0cb2a70aad97e89c78bbe83040cd3aad59aaa4d2e8ec9cc5ebffd3719f0873ce
S2b_reference_member_universe.csv,10818,80b6bf10c276c5e94a76ded99d751f17a027b4dfa7be3d2d180d80b0bfa3a667
S2c_reference_population_and_reconstruction.csv,15,10a610e6e4ae94bba10577020784b096b069a01cc94a4eacc07f3c6b7f68c850
S2d_primary_probe_mapping.csv,7,bf4986f60a3116df8f70a44a93ec42e950b183a7c83b1c802f4a2b2e9ef1c14f
S3a_OS_all45_R.csv,45,02620065cf93a5f10517182160b4e3007e7c1ec93dd3f9a9ea3e4ac168448205
S3b_OX4_PH_diagnostics.csv,9,a0e55e7ef956aa3d34a1f677726c72ab35113deb0d4b25497daad3f982af10e4
S4a_transcript_and_subcohort_correlations.csv,9,57c3d25d6e47f481c5a10a02226f98333258d8e8903cdacf110a5258774932e0
S4b_variance_decomposition.csv,15,6080dff6ce9a90d49bdea1338ae9e5670fb8982b6ab5c2444cda52f2cb5afcae
S4c_reference_pair_all108.csv,108,ddb7e9f268d990f54e897a247cd5286f395f04b0f9b0bfd910545136c3658a36
S4d_reference_pairs_by_cohort.csv,3,3fc506268acb5801006663e05136d37849db07bf8c8ad640e34b1270deed50ba
S4e_coverage_rank_diagnostic.csv,3,6d0ec4946d12f4c6bc841af55a78c5738a221baa36f513fa1bd5480c39468aaa
S5a_extended_clinical_adjustment_source.csv,95,5d786f86e44e7f1dcb89a3443c5560aa1e038edefcd5264a21c1a3350963b638
S5b_OS_time_and_stage_sensitivities.csv,27,7e33573abb26f7b2eb1909e74c860bb875ba29c6c7490cba44fd99e0f33cbb4e
S6a_recurrence_diagnostic_all300.csv,300,fd94666f1e1bb51c9f45e7b43f843aecd458aa4cac97c2c3ad36fbc7982b0446
S6b_fiveyear_sensitivity_all30.csv,30,ad46d68d56aa9be0f557abde80d06189fc1b388086c5ad4f867b1040468b0f3d
S7a_KEAP1_case_classification.csv,14,37ef0a52f66e9dd5b853197238f5029645b352060bb8211a113e3984cb6e6101
S7b_MSI_model_versions.csv,6,0520f93ac26044a96642c0247484b6f3a9b6e3bc2c9c0d4694c116b746ed898a
S8a_published_seed_uses.csv,5,2c8cbf2159650438e4e4e4e97286a60b616b5219fd8f04c7aa86292e1d4459b2
S8b_supplement_cell_trace.csv,985,d66248fa968f069747a33486a76835c849afd271989071bb11fb20b3a7a77415
S9a_targeted_source_inventory20.csv,20,6d39483e3a5ee5e086b7fe8898e0f4d64fc8077d59fef26017f50d5bcd542685
