cohort,design,n_sets,observed_abs_logHR,percentile,tail_fraction,median_abs_logHR,p95_abs_logHR,warn_count,max_logHR_error
GSE17538,M1_msd,1000,0.1611629752108157,45.5,0.5454545454545454,0.1733606243394975,0.3582566075573832,0,7.2099548553694595e-12
GSE17538,M2_msd_coexpr,1000,0.1611629752108157,59.8,0.4025974025974026,0.1280483097639437,0.3469396127329354,0,1.78859704824674e-12
GSE39582,M1_msd,1000,0.0624990484103061,44.5,0.5554445554445554,0.0720611506133809,0.2036797678187119,0,4.17583502498875e-13
GSE39582,M2_msd_coexpr,1000,0.0624990484103061,35.3,0.6473526473526473,0.0870925373490329,0.1956907618382606,0,8.65474358846541e-13
TCGA-COADREAD,M1_msd,1000,0.0633439817526376,40.1,0.5994005994005994,0.0793673649619433,0.2372238439754762,0,1.9736845491280503e-09
TCGA-COADREAD,M2_msd_coexpr,1000,0.0633439817526376,41.5,0.5854145854145855,0.0772409419506919,0.2284657873593595,0,1.52063348024534e-10
