HR,lo95,hi95,p,n,events,parameters,iter,score_residual_norm,warning,ph_global,cohort,score,endpoint,variant,model,events_per_parameter
0.850588845267291,0.689498402702718,1.04931553264973,0.130888475637024,367,85,1,3,3.02036173849274e-12,,,TCGA-COADREAD,OX3,OS,frozen,M0,85.0
0.933383607484402,0.745277017239538,1.16896796569347,0.548264034503665,367,85,7,4,2.17098725040786e-07,,,TCGA-COADREAD,OX3,OS,frozen,M1,12.142857142857142
0.932446155079723,0.683765146774105,1.27157085473706,0.658534838622672,367,85,15,4,2.74953444700784e-08,,,TCGA-COADREAD,OX3,OS,frozen,M2,5.666666666666667
0.866898359325205,0.705461735522813,1.06527785641526,0.17429956968219,367,85,1,3,9.118573951472091e-15,,0.406611298745955,TCGA-COADREAD,OX4,OS,frozen,M0,85.0
0.938620549810571,0.752503098025736,1.1707706437862,0.574281123618748,367,85,7,4,2.05357207165462e-07,,0.228622192585966,TCGA-COADREAD,OX4,OS,frozen,M1,12.142857142857142
0.941411617606846,0.703882184105229,1.25909684003686,0.684035082469175,367,85,15,4,3.02455226852331e-08,,0.260435551461894,TCGA-COADREAD,OX4,OS,frozen,M2,5.666666666666667
0.917231343537222,0.742796200180485,1.13263010414253,0.422114615079316,367,85,1,3,2.14429168865493e-14,,,TCGA-COADREAD,OX5,OS,frozen,M0,85.0
0.926196187667838,0.743008597094924,1.15454838800586,0.495322848078191,367,85,7,4,1.9679634821362e-07,,,TCGA-COADREAD,OX5,OS,frozen,M1,12.142857142857142
0.952935868284189,0.730805757660005,1.24258294292888,0.721832282084467,367,85,15,4,2.94591037144084e-08,,,TCGA-COADREAD,OX5,OS,frozen,M2,5.666666666666667
0.912639189393502,0.738411531225082,1.12797573547499,0.397675467571559,367,85,1,3,5.982193906906021e-15,,,TCGA-COADREAD,OX5_noNRF2,OS,frozen,M0,85.0
0.950874849003925,0.762522359729917,1.18575274145205,0.654700431071583,367,85,7,4,2.09887634043117e-07,,,TCGA-COADREAD,OX5_noNRF2,OS,frozen,M1,12.142857142857142
0.944345596011233,0.719762649800506,1.23900372567677,0.679404601031,367,85,15,4,3.00715810978073e-08,,,TCGA-COADREAD,OX5_noNRF2,OS,frozen,M2,5.666666666666667
0.862005981782218,0.700633169706563,1.06054686640019,0.160285668973354,367,85,1,3,1.62994400962346e-12,,,TCGA-COADREAD,OX6,OS,frozen,M0,85.0
0.923576313372092,0.74152270540112,1.1503264841507,0.477868179496503,367,85,7,4,1.78748302462875e-07,,,TCGA-COADREAD,OX6,OS,frozen,M1,12.142857142857142
1.01429858580984,0.746029644079572,1.37903584574733,0.927823159934859,367,85,15,4,2.71006087616263e-08,,,TCGA-COADREAD,OX6,OS,frozen,M2,5.666666666666667
0.825449250344997,0.715043730168579,0.952901810263379,0.0088317179009898,561,191,1,3,2.9920510513648e-14,,,GSE39582,OX3,OS,frozen,M0,191.0
0.899601672708627,0.775641636449976,1.04337252090303,0.161908759728544,561,191,7,5,2.49307738503601e-09,,,GSE39582,OX3,OS,frozen,M1,27.285714285714285
1.07728041302326,0.857627056305649,1.35319085347275,0.522278780603857,561,191,15,5,2.26317612452166e-09,,,GSE39582,OX3,OS,frozen,M2,12.733333333333333
0.875298085231995,0.759324692237374,1.00898435918542,0.0662648572011428,561,191,1,3,9.70890035034699e-14,,0.393906859745489,GSE39582,OX4,OS,frozen,M0,191.0
0.93941395674969,0.808699560472056,1.09125641371806,0.413601278381899,561,191,7,5,2.57659436564137e-09,,0.64659722972552,GSE39582,OX4,OS,frozen,M1,27.285714285714285
1.08855408776097,0.891702155298417,1.32886300088012,0.404442879108937,561,191,15,5,2.4297110032238e-09,,0.473897864120155,GSE39582,OX4,OS,frozen,M2,12.733333333333333
0.819832336933179,0.712190496875404,0.943743371513851,0.0056710537659715,561,191,1,3,4.36560509964323e-14,,,GSE39582,OX5,OS,frozen,M0,191.0
0.905689812323668,0.784617864743832,1.04544399637738,0.176066093884645,561,191,7,5,2.47463634967499e-09,,,GSE39582,OX5,OS,frozen,M1,27.285714285714285
1.00946819403296,0.835835609338592,1.21917040070898,0.922046665834643,561,191,15,5,2.6307375193986104e-09,,,GSE39582,OX5,OS,frozen,M2,12.733333333333333
0.819268637417071,0.710924159296065,0.944124758567535,0.005879455942696,561,191,1,2,4.43200793773246e-09,,,GSE39582,OX5_noNRF2,OS,frozen,M0,191.0
0.898419072888952,0.777604991409562,1.03800366438944,0.146013561202496,561,191,7,5,2.4627913326976803e-09,,,GSE39582,OX5_noNRF2,OS,frozen,M1,27.285714285714285
1.00221501606904,0.821300659377302,1.22298080120356,0.98262096781892,561,191,15,5,2.3154236130920603e-09,,,GSE39582,OX5_noNRF2,OS,frozen,M2,12.733333333333333
0.820984564734461,0.712188792150362,0.94640025645044,0.0065384574261679,561,191,1,3,9.10094791195526e-10,,,GSE39582,OX6,OS,frozen,M0,191.0
0.861875771924901,0.742333315891268,1.00066887788713,0.0510348225986805,561,191,7,5,2.53164294390584e-09,,,GSE39582,OX6,OS,frozen,M1,27.285714285714285
0.99934379473765,0.782241930125712,1.27669967770732,0.995808997527833,561,191,15,5,2.2229816633481302e-09,,,GSE39582,OX6,OS,frozen,M2,12.733333333333333
1.08972844103386,0.883815129588545,1.34361591631829,0.421313259248885,232,93,1,3,2.11302510211286e-09,,,GSE17538,OX3,OS,frozen,M0,93.0
1.13074949099516,0.912485145838749,1.40122216478443,0.261440536944722,232,93,6,5,1.8328968764322e-09,,,GSE17538,OX3,OS,frozen,M1,15.5
0.883309859460438,0.583005731650884,1.33829954914961,0.558328333037999,232,93,14,5,3.0530249982055603e-10,,,GSE17538,OX3,OS,frozen,M2,6.642857142857143
1.07310734368789,0.870854037510715,1.3223333893801,0.507847136396198,232,93,1,3,4.80889612852753e-10,,0.562138431315957,GSE17538,OX4,OS,frozen,M0,93.0
