file,sheet,row,values
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,1,Oxeiptosis-related genes | lncRNA | Correlation | P-value | Regulation
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,46,KEAP1 | ASAP1-IT2 | -0.236779522978791 | 3.55220452329031e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,47,KEAP1 | AL157762.1 | -0.210620881501201 | 3.93524449531852e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,48,KEAP1 | AC012186.2 | -0.207941965972797 | 4.95421759146924e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,54,KEAP1 | AC007342.4 | 0.225167645042166 | 1.07031055506976e-05 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,55,KEAP1 | AC005730.3 | -0.230302827832314 | 6.61809858524138e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,56,KEAP1 | AC061961.1 | 0.336634280366483 | 2.17916772656319e-11 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,60,KEAP1 | AC084782.3 | -0.211123590061857 | 3.76758987472761e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,61,KEAP1 | AL136295.6 | -0.254710873413444 | 5.77265429204123e-07 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,63,KEAP1 | ITCH-IT1 | -0.271197078872052 | 9.58216099348346e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,65,KEAP1 | NR2F2-AS1 | -0.233344538266738 | 4.95205777047021e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,67,KEAP1 | AC011465.1 | -0.274641647784743 | 6.48303924961236e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,72,KEAP1 | AL137779.1 | -0.230018470670193 | 6.79861560498142e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,75,KEAP1 | AC020663.3 | -0.220771497229028 | 1.60110721573661e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,76,KEAP1 | AL121583.1 | -0.219116248860675 | 1.85939124688818e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,77,KEAP1 | AC073896.4 | -0.220195755533596 | 1.6868175756981e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,79,KEAP1 | AC090587.1 | 0.224349461771717 | 1.1543274885491e-05 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,82,KEAP1 | AC009120.2 | -0.275233988748605 | 6.05844978461953e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,84,KEAP1 | MNX1-AS1 | 0.244184659962483 | 1.70594448176892e-06 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,85,KEAP1 | AL731577.2 | 0.257228322697874 | 4.4227738032985e-07 | postive
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,88,KEAP1 | AP001350.1 | -0.320679841995519 | 2.04542414153409e-10 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,89,KEAP1 | AC010168.2 | -0.234671520434255 | 4.35817338748496e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,91,KEAP1 | AC067852.3 | -0.327960661521868 | 7.48160156734493e-11 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,93,KEAP1 | AC019080.5 | -0.201545138436736 | 8.48469869690472e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,96,KEAP1 | AL023584.2 | -0.204380282913265 | 6.69829933433325e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,99,KEAP1 | AL157871.5 | -0.274476328798216 | 6.60657455271611e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,101,KEAP1 | AL138976.2 | -0.234897804592705 | 4.26393939664516e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,104,KEAP1 | AC011825.2 | -0.230127343719405 | 6.72895297118409e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,106,KEAP1 | AC005522.1 | -0.21622929575135 | 2.40696644235449e-05 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,108,KEAP1 | AC006435.2 | -0.28676313719266 | 1.56955694990254e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,111,KEAP1 | AL359715.2 | -0.277609657727423 | 4.60974259891024e-08 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,112,KEAP1 | AC022558.3 | -0.23522954751436 | 4.12929581197468e-06 | negative
results\c1_sources\extracted\GC_SEED\medi-103-e37189-s001.xlsx,corResult,115,KEAP1 | AC100847.1 | -0.226640944165435 | 9.33479150246777e-06 | negative
