cohort,reference,n,rho,subcohort_adjusted_rho,condition_on,partial_rho
TCGA,S_mito_c,367,0.3858600973779425,0.3858600973779425,S_nrf2,0.2968961949193415
TCGA,S_prolif_c,367,0.30501057484836896,0.30501057484836896,,
TCGA,S_nrf2,367,0.32344931355736345,0.32344931355736345,S_mito_c,0.2017907672136138
GSE39582,S_mito_c,561,0.5660594325080404,0.5669836980919704,S_nrf2,0.4039016618679064
GSE39582,S_prolif_c,561,0.5202257027042457,0.5235072151837676,,
GSE39582,S_nrf2,561,0.4725206549782643,0.4730604368571571,S_mito_c,0.20857716886024227
GSE17538,S_mito_c,232,0.7968244571766843,0.5871086568483318,S_nrf2,0.5671736176591153
GSE17538,S_prolif_c,232,0.7928929883199528,0.5817304088750141,,
GSE17538,S_nrf2,232,0.7043527731702955,0.4840973466400403,S_mito_c,0.25250799359420095
