model,term,n,events,parameters,HR,lo,hi,p,EPV
submitted,S_oxeip,367,85,9,0.915268264125123,0.715303345003377,1.17113389887847,0.481462980671859,9.44444444444444
submitted,MSI_gdc,367,85,9,1.27379729565819,0.672034303582155,2.41439989265036,0.458233834144225,9.44444444444444
unknown_fixed,S_oxeip,367,85,10,0.936883206539333,0.72952036216347,1.20318799614086,0.609503530796332,8.5
unknown_fixed,MSI_gdc,367,85,10,1.38633540454001,0.729823113663124,2.63341324479927,0.318343076406322,8.5
unknown_and_clean,S_oxeip,367,85,10,0.936937030756942,0.729792171587758,1.20287807101816,0.609368065351573,8.5
unknown_and_clean,MSI_gdc,367,85,10,1.38629288475252,0.729828028412059,2.63323397773157,0.318360302824644,8.5
